id,source,created_at,preprocessed_text,sentimen,skor_sentimen
44,x,2025-06-11,moist pake cosrx skin trs sunscreen nya amaterasun ak pake basic skincare aja diselingin sheetmask x bulan kl rajin exfo pake yg volcano minggu x kl rajin bgt soal suka males,neutral,0.5524037480354309
45,x,2025-06-11,jajan yuuk persunscreen perhair careannya sunscreen cosrx erha amaterasun garnier klairs labore haircare,neutral,0.7150442004203796
51,x,2025-06-11,gue sih sunscreen amaterasun mantep,positive,0.994123876094818
52,x,2025-06-11,new segel kak sunscreen cosrx erha amaterasun garnier klairs labore,neutral,0.7941509485244751
56,x,2025-06-10,sunscreen amaterasun salah satu wishlist aku jg,positive,0.5994700789451599
58,x,2025-06-10,toneressence jumiso snail serum trueve vit c avoskin marine collagen skin poremizing moist skintific skingame laroche posay sunscreen loreal skin amaterasun gantung ada kulit sih,neutral,0.8922405242919922
59,x,2025-06-10,aku lagu cobain sunscreen amaterasun yg ijo tp buat review mungkin cobain nder,neutral,0.9638640284538268
66,x,2025-06-09,sunscreen amaterasun azarine nya baru kaa co oren,neutral,0.988733172416687
76,x,2025-06-08,wtb tinted sunscreen tavi adaptint amaterasun zonauang zonajajan,neutral,0.9738695025444032
77,x,2025-06-08,pakai sunscreen meski aktititas dalam ruang pake sunscreen penting loh nahh buat kalian tipkul sama kaya aku oilykombinasi aku pake sunscreen amaterasun ijo spf,positive,0.5104172825813293
78,x,2025-06-07,sunscreen sama sama amaterasun,positive,0.703890860080719
79,x,2025-06-07,buat kulit sensitif nih mending physical sunscreen punya amaterasun labore,neutral,0.9897887110710144
82,x,2025-06-07,aku bukan ciwi lama paling cocok pakai somethinc sama finally found you toner ffy serum smtnc moisturizer smtnc sunscreen amaterasunsmtnckahf,positive,0.9148715138435364
84,x,2025-06-07,aku new ss sunscreen amaterasun cream ungu k dom bogor,neutral,0.988087832927704
85,x,2025-06-07,new ss sunscreen amaterasun cream ungu k dom bogor,neutral,0.9898399114608764
86,x,2025-06-06,physical sunscreen nya amaterasun buat combi to oily skin bagus nggaaa,positive,0.9446309208869934
87,x,2025-06-06,mauu sunscreen amaterasun co skrg guys,neutral,0.957955002784729
89,x,2025-06-06,sunscreen yg enak buat oily skin mending unitary or amaterasun,positive,0.9357898235321044
90,x,2025-06-06,amaterasun buat physical sunscreen ukur ml,neutral,0.9960913062095642
91,x,2025-06-06,aku ini new wts ss sunscreen amaterasun cream k dom bogor,neutral,0.990193009376526
93,x,2025-06-05,aku amaterasun yg uv sunscreen cream spf k ajaa,neutral,0.9928067922592164
95,x,2025-06-05,pen coba deh blm sempet coba sunscreen amaterasun,neutral,0.9436074495315552
100,x,2025-06-05,amaterasun sunscreen bikin putih ga bikin abu abu monyet harus banget aku pake tiap hari,neutral,0.7487820386886597
102,x,2025-06-05,amaterasun sunscreen bikin putih ga bikin abu abu monyet aman banget buat kulit kering kaya kulit,positive,0.8474958539009094
107,x,2025-06-05,cowo harus memprotek kulit dong makanya pake amaterasun sunscreen bikin putih,neutral,0.886003851890564
109,x,2025-06-05,jangan ngaku cowo keren kalo blom pake amaterasun sunscreen bikin putih ga bikin abu monyet,neutral,0.739446759223938
110,x,2025-06-05,balita sampe tua cewe sampe cowo sunscreen bnaget dipake yaph amaterasun sunscreen bikin putih,positive,0.624942421913147
112,x,2025-06-05,bikin cantik putih lindung kulit amaterasun sunscreen bikin putih ga bikin abu abu monyet,neutral,0.6749167442321777
114,x,2025-06-05,amaterasun sunscreen bikin putih nyaman banget aku pake daily memprotek kulit ruang ac kantor,positive,0.5793085098266602
115,x,2025-06-05,physical sunscreen amaterasun meski kandung spfnya cukup tinggi spf pa aman banget kulit ga bikin makin breakout ini juga aman pakai bayi mulai usia tahun,positive,0.9806644916534424
116,x,2025-06-05,gua dlu suka ganti ganti sunscreen karna g nemu yg pas tp akhir saranin tmn pke amaterasun sunscreen bikin putih bnrn bikin kulit jd lbih cerah,positive,0.5883691310882568
117,x,2025-06-05,semenjak nemu amaterasun sunscreen bikin putih jd g bingung lg milih sunscreen yg cerahin kulit,neutral,0.5142284035682678
118,x,2025-06-05,aku dlu bingung bgt milih sunscreen smpe akhir aku nemu amaterasun sunscreen bikin putih gak bikin abu monyet suka bgt sm sunscreen ini,positive,0.913070797920227
119,x,2025-06-05,gue udah coba banyak tone up yang paling nyatu tuh amaterasun sunscreen bikin putih gak dempul sama sekali,positive,0.674349844455719
120,x,2025-06-05,sih holy grail gue sekarang amaterasun sunscreen bikin putih ngebantu kulit kusam gue liat hidup,neutral,0.6387532353401184
121,x,2025-06-05,gak nyangka sunscreen bisa bikin kulit cerah kejap amaterasun sunscreen bikin putih beneran,positive,0.7590245604515076
123,x,2025-06-05,cobain deh tekstur ringan parah amaterasun sunscreen bikin putih gak bikin muka berat lengket,positive,0.8529135584831238
124,x,2025-06-05,gue kira bakal susah diratain eh gampang banget amaterasun sunscreen bikin putih effort,neutral,0.7503390908241272
125,x,2025-06-05,jauh cm amaterasun sunscreen bikin putih gak bikin abu monyet pling nyaman pke g lengket lgi kulit,neutral,0.8248370885848999
126,x,2025-06-05,amaterasun sunscreen bikin putih gak bikin muka abuabu kayak tone up ini cakep banget hasil,positive,0.9863046407699584
127,x,2025-06-05,gue pake belum makeup enak banget amaterasun sunscreen bikin putih bikin kulit liat lebih fresh,positive,0.936557948589325
128,x,2025-06-05,cewekcewek cobain deh amaterasun sunscreen bikin putih ngebantu banget biar gak liat capek,positive,0.5638328790664673
129,x,2025-06-05,baru nemu sunscreen bisa sekali jadi base makeup amaterasun sunscreen bikin putih glowing sehat gitu,neutral,0.5455373525619507
131,x,2025-06-05,lo coba deh amaterasun sunscreen bikin putih ada efek tone upnya gak norak,positive,0.931596577167511
132,x,2025-06-05,amaterasun sunscreen bikin putih gak bikin abu monyet nih tipikal sunscreen idam byk org bgt bikin kulit jd lbih putih,positive,0.6177923083305359
133,x,2025-06-05,gue rekomen banget karena hasil tuh smooth amaterasun sunscreen bikin putih ga berat,positive,0.9568849802017212
135,x,2025-06-05,gue pakai tiap hari beneran rasa amaterasun sunscreen bikin putih efek tahan lama,positive,0.8925101161003113
136,x,2025-06-05,amaterasun sunscreen bikin putih pakai anak smp aman adik suka banget,positive,0.9836996793746948
138,x,2025-06-05,gak lebay hasil tetep bikin beda amaterasun sunscreen bikin putih sentuh halus,positive,0.9455724358558656
141,x,2025-06-05,serius deh amaterasun sunscreen bikin putih gak berat kulit enak banget buat dipake hari,positive,0.9885990619659424
142,x,2025-06-05,gue kaget beneran tone upnya tuh pas banget amaterasun sunscreen bikin putih gak norak,positive,0.9737294316291808
143,x,2025-06-05,amaterasun sunscreen bikin putih bikin kulit gue liat kayak habis skincarean step,neutral,0.6641092300415039
144,x,2025-06-05,nyari sunscreen yg bikin kulit putih nih amaterasun sunscreen bikin putih gak bikin abu monyet,neutral,0.972515344619751
145,x,2025-06-05,amaterasun sunscreen bikin putih ingredientsnya tuh bagus banget buat kulit kusam,positive,0.9807378649711608
146,x,2025-06-05,baru kali ngerasa nyaman pake tone up amaterasun sunscreen bikin putih gak lengket gak berat,positive,0.9050407409667968
147,x,2025-06-05,gue udah repurchase amaterasun sunscreen bikin putih gak bikin kulit kusam,positive,0.585105836391449
148,x,2025-06-05,gue paling males layering produk untung amaterasun sunscreen bikin putih udah allinone,neutral,0.9179741740226746
149,x,2025-06-05,kenalin nih sunscreen andal ku amaterasun sunscreen bikin putih kulit auto cerah,neutral,0.7995594143867493
150,x,2025-06-05,dia amaterasun sunscreen bikin putih banyak banget yg make loh karna beneran bikin putih cerah,positive,0.7804742455482483
151,x,2025-06-05,bingung pilih sunscreen kata aku mah buru pake aja amaterasun sunscreen bikin putih gabikin muka kusam abuabu,neutral,0.7709452509880066
152,x,2025-06-05,amaterasun sunscreen bikin putih enak polll dipakenya gak bikin muka jadi abuabu,positive,0.961973249912262
155,x,2025-06-05,yuhu dia sunscreen yg sering aku pake amaterasun sunscreen bikin putih gampang loh apply,neutral,0.6302700042724609
156,x,2025-06-05,teng teng teng mau ngecun dulu nih gaes pake amaterasun sunscreen bikin putih yg jelas mudah applay ga bikin dempul,neutral,0.8226527571678162
157,x,2025-06-05,dia yg cari amaterasun sunscreen bikin putih udah lama pake liat banget kulit lindung papar matahari jadi lebih glowing,positive,0.6719574928283691
158,x,2025-06-05,nih gaes yg cobain yuk coba amaterasun sunscreen bikin putih kulit makin glowing loh,neutral,0.6681962013244629
159,x,2025-06-05,cewek gw selalu pake tiap kali mau ketemu gw kata amaterasun sunscreen bikin putih,neutral,0.5976566076278687
160,x,2025-06-05,amaterasun sunscreen bikin putih pasti mudah apply,positive,0.5273672938346863
162,x,2025-06-05,dia amaterasun sunscreen bikin putih banyak banget yg make loh karna beneran bikin putih cerah,positive,0.6622900366783142
163,x,2025-06-05,amaterasun sunscreen bikin putih gamang banget apply muka,neutral,0.8539860248565674
164,x,2025-06-05,amaterasun sunscreen bikin putih nyaman banget muka,positive,0.8005518913269043
165,x,2025-06-05,salah satu jalan ninjaku nih selalu pake amaterasun sunscreen bikin putih,neutral,0.750503659248352
168,x,2025-06-05,yuhu dia sunscreen yg sering aku pake amaterasun sunscreen bikin putih gampang loh apply,neutral,0.7903731465339661
169,x,2025-06-05,nggak bikin kusam bikin glowing natural kalau bukan amaterasun sunscreen bikin putih gak bikin abu monyet,positive,0.7195824980735779
170,x,2025-06-05,teng teng teng mau ngecun dulu nih gaes pake amaterasun sunscreen bikin putih yg jelas mudah applay ga bikin dempul,neutral,0.8594017028808594
171,x,2025-06-05,dia yg cari amaterasun sunscreen bikin putih udah lama pake liat banget kulit lindung papar matahari jadi lebih glowing,positive,0.9672650694847108
172,x,2025-06-05,amaterasun sunscreen bikin putih gak bikin abu monyet bahkan cerah,positive,0.6640352010726929
173,x,2025-06-05,nih gaes yg cobain yuk coba amaterasun sunscreen bikin putih kulit makin glowing loh,neutral,0.6618484258651733
174,x,2025-06-05,jelas kalau amaterasun sunscreen bikin putih gak bikin abu monyet,neutral,0.9445366859436036
175,x,2025-06-05,amaterasun sunscreen bikin putih melembabkan,neutral,0.7906691431999207
176,x,2025-06-05,bakal repurchase amaterasun sunscreen bikin putih,neutral,0.8157668709754944
177,x,2025-06-05,pasti amaterasun sunscreen bikin putih bisa cerah kulit,positive,0.7601215839385986
178,x,2025-06-05,paling suka sama amaterasun sunscreen bikin putih,positive,0.8522353768348694
179,x,2025-06-05,kulit kering pas nyobain amaterasun sunscreen bikin putih nyata cocok,positive,0.8727618455886841
180,x,2025-06-05,produk amaterasun sunscreen bikin putih bikin kulit jadi lembab,neutral,0.8385844826698303
181,x,2025-06-05,amaterasun sunscreen bikin putih best buying si dipake pantai hayukk,positive,0.98374605178833
182,x,2025-06-05,cepet banget resap kulit ngak bikin kulit jadi minyak amaterasun sunscreen bikin putih,positive,0.8894259333610535
184,x,2025-06-05,pake jadi asa ngak pake apa beneran ringan banget amaterasun sunscreen bikin putih,positive,0.8832162022590637
185,x,2025-06-05,bagus produk amaterasun sunscreen bikin putih gampang resap kulit,positive,0.7927361130714417
186,x,2025-06-05,pake amaterasun sunscreen bikin putih rekomendasi teman nyata emg bagus,positive,0.5106699466705322
188,x,2025-06-05,amaterasun sunscreen bikin putih koentji lindung ga kya pake topeng,neutral,0.8117454051971436
189,x,2025-06-05,gak perlu takut muka jadi abu sekarang cerah alami tiap hari amaterasun sunscreen bikin putih gak bikin abu monyet,positive,0.5810900926589966
190,x,2025-06-05,cepet banget resap kulit gak lengket amaterasun sunscreen bikin putih gak bikin abu monyet,positive,0.9226037859916688
191,x,2025-06-05,suka banget ngak bikim whitecast tentu amaterasun sunscreen bikin putih,positive,0.9894859790802002
193,x,2025-06-05,kulit jadi cerah natural bukan filter karena amaterasun sunscreen bikin putih,neutral,0.5348927974700928
194,x,2025-06-05,aku cobain kepo banget nyata cocok banget amaterasun sunscreen bikin putih,positive,0.9273019433021544
195,x,2025-06-05,amaterasun sunscreen bikin putih nyaman banget aku pake daily memprotek kulit ruang ac kantor,positive,0.5072581171989441
196,x,2025-06-05,gue udah pake bareng adek gue kita samasama suka amaterasun sunscreen bikin putih aman buat usia muda,positive,0.5157998204231262
197,x,2025-06-05,gue suka banget amaterasun sunscreen bikin putih gak kayak topeng tetep nyatu sama kulit,positive,0.9525571465492249
198,x,2025-06-05,alih ajaa amaterasun sunscreen bikin putihga bikin abu abu monyet dah anti whitecast,neutral,0.819997251033783
199,x,2025-06-05,ga bingung mau pake ss apa andal si amaterasun sunscreen bikin putih,positive,0.8728688359260559
200,x,2025-06-05,biasa bikin perih mata yang aman banget sih amaterasun sunscreen bikin putih gak bikin abu monyet,positive,0.8665426969528198
202,x,2025-06-05,udah nemu sunscreen gak ninggalin white cast coba deh amaterasun sunscreen bikin putih gak bikin abu monyet,neutral,0.8697974681854248
204,x,2025-06-05,amaterasun sunscreen bikin putih ga bikin abu abu monyet harus banget aku pake tiap hari,neutral,0.8155457973480225
205,x,2025-06-05,lo coba deh amaterasun sunscreen bikin putih dia tuh sekali primer jadi tinggal tap bedak udah cakep,positive,0.7662444114685059
206,x,2025-06-05,gak nyangka sunscreen enak pakai amaterasun sunscreen bikin putih rasa berat sama sekali,positive,0.9307043552398682
207,x,2025-06-05,buru dicobain produk yg satu minim whitecast ringan banget muka amaterasun sunscreen bikin putih,positive,0.8748417496681213
208,x,2025-06-05,makin lama pakai kulit aku makin halus cerah berkat pakai amaterasun sunscreen bikin putih gak bikin abu monyet,positive,0.8357888460159302
210,x,2025-06-05,amaterasun sunscreen bikin putih bikin aku males reapply,positive,0.5756195783615112
211,x,2025-06-05,pake hari kulit tetap nyaman liat cerah amaterasun sunscreen bikin putih gak bikin abu monyet,neutral,0.5168296098709106
212,x,2025-06-05,dia andal semua amaterasun sunscreen bikin putih ga bikin abu abu monyet best deh,positive,0.9925345182418824
213,x,2025-06-05,kulit sawo matang usah takut amaterasun sunscreen bikin putih tetep natural ngecast abuabu,positive,0.7298142313957214
214,x,2025-06-05,dulu susah banget nemu sunscreen ringan bikin cerah sampe akhir kenal sama amaterasun amaterasun sunscreen bikin putih,neutral,0.6655168533325195
218,x,2025-06-05,pakai makeup jadi nempel lebih bagus serius dehh jadi ayo langsung cobain amaterasun sunscreen bikin putih,neutral,0.5907637476921082
219,x,2025-06-05,spf besar ga bikin abu abu solusi amaterasun sunscreen bikin putih,neutral,0.9687683582305908
220,x,2025-06-05,lo suka skincare simple pakai amaterasun sunscreen bikin putih aja sekali primer cerah,positive,0.5193721055984497
221,x,2025-06-05,sunscreen gak bikin abu yes please amaterasun sunscreen bikin putih gak bikin abu monyet,neutral,0.9287929534912108
223,x,2025-06-05,amaterasun sunscreen bikin putih gak bikin abu monyet gampang aplikasi ga bkin kusemm,neutral,0.595130980014801
225,x,2025-06-05,sunscreen kayak gin tuh rare banget amaterasun sunscreen bikin putih ngebantu banget buat nutupin merah,positive,0.9801700711250304
226,x,2025-06-05,kulit kombinasi tetap cocok pakai beneran baik banget sih amaterasun sunscreen bikin putih gak bikin abu monyet,positive,0.9803436994552612
227,x,2025-06-05,udah skincarean capekcapek terus pake sunscreen malah jadi abu coba deh amaterasun sunscreen bikin putih no kusamkusam club,neutral,0.4226776659488678
228,x,2025-06-05,gue udah stop pake foundation tiap hari cukup amaterasun sunscreen bikin putih kulit gue liat bagus,neutral,0.6230612993240356
229,x,2025-06-05,nah nih amaterasun sunscreen bikin putih ga bikin jadi abuabu monyet gampang resap gampang blend,neutral,0.6695426106452942
230,x,2025-06-05,tone up favorit gue sekarang amaterasun sunscreen bikin putih gak patchy pas dipake,positive,0.8136657476425171
231,x,2025-06-05,amaterasun sunscreen bikin putih bukan putih keabuabuan putih cerah alami,neutral,0.8257027864456177
232,x,2025-06-05,nyangka nyaman pakai hari amaterasun sunscreen bikin putih gak bikin abu monyet,positive,0.5575541853904724
233,x,2025-06-05,amaterasun sunscreen bikin putih ga bikin abu abu monyet aman banget buat kulit kering kaya kulit,positive,0.8278788328170776
234,x,2025-06-05,gak takut muka belang amaterasun sunscreen bikin putih nyaman kulit,positive,0.9127169251441956
236,x,2025-06-05,hadiah pacar dong amaterasun sunscreen bikin putih gak bikin abu monyet pacar glowing hati gue neng,positive,0.9653708338737488
237,x,2025-06-05,amaterasun sunscreen bikin putih gak bikin abu monyet tekstur ringan hasil cerah gak bikin kusam,positive,0.7298445105552673
238,x,2025-06-05,udah coba pantai hasil mantap kulit tetap aman amaterasun sunscreen bikin putih gak bikin abu monyet,positive,0.7898659706115723
240,x,2025-06-05,kulit gue kusamkusamnya sekarang udah mending amaterasun sunscreen bikin putih nyata bantu,neutral,0.881662905216217
241,x,2025-06-05,buat remaja oke banget bikin berat kulit jelas amaterasun sunscreen bikin putih gak bikin abu monyet,positive,0.938376784324646
242,x,2025-06-05,yang aku suka amaterasun sunscreen bikin putih gak bikin abu monyet haha,positive,0.9443376660346984
244,x,2025-06-05,gak perlu takut muka jadi belang kusam amaterasun sunscreen bikin putih gak bikin abu monyet,neutral,0.6917277574539185
245,x,2025-06-05,dulu susah banget nemu sunscreen ringan bikin cerah sampe akhir kenal sama amaterasun amaterasun sunscreen bikin putih,neutral,0.5827807784080505
248,x,2025-06-05,amaterasun sunscreen bikin putih gak lihat aneh kulit nyatu banget,positive,0.8785675764083862
250,x,2025-06-05,amaterasun sunscreen bikin putih udah ya aku udah nyobain kok,positive,0.7586535811424255
251,x,2025-06-05,amaterasun sunscreen bikin putih glowing ribet,positive,0.8089274168014526
252,x,2025-06-05,amaterasun sunscreen bikin putih ini bukan gimmick hasil nyataaa,neutral,0.725740909576416
253,x,2025-06-05,gak takut makeup geser amaterasun sunscreen bikin putih gampang diblend,positive,0.72761070728302
254,x,2025-06-05,sunscreen satu udah bukan rahasia amaterasun sunscreen bikin putih gak bikin abu monyet,positive,0.8355107307434082
255,x,2025-06-05,amaterasun sunscreen bikin putih hasil natural gak medok gak abu,positive,0.6988285779953003
256,x,2025-06-05,amaterasun sunscreen bikin putih gak bikin abu monyet bahkan cerah,neutral,0.5148335099220276
258,x,2025-06-05,pakai amaterasun sunscreen bikin putih bahkan pas di rumah aja beneran enak,neutral,0.588431715965271
259,x,2025-06-05,sunscreen cocok kulit sensitif amaterasun sunscreen bikin putih,positive,0.6339927911758423
260,x,2025-06-05,jelas kalau amaterasun sunscreen bikin putih gak bikin abu monyet,neutral,0.9392982721328736
261,x,2025-06-05,amaterasun sunscreen bikin putih melembabkan,positive,0.5879991054534912
262,x,2025-06-05,neng banget akhir aku nemu sunscreen bener bener pas aku fix amaterasun sunscreen bikin putih gak bikin abu check out sini guys,positive,0.7388665676116943
264,x,2025-06-05,gak perlu takut muka jadi belang kusam amaterasun sunscreen bikin putih gak bikin abu monyet,neutral,0.7539947628974915
265,x,2025-06-05,bakal repurchase amaterasun sunscreen bikin putih,neutral,0.8411375284194946
266,x,2025-06-05,nyangka banget bantu kulit jadi lebih sehat berkat amaterasun sunscreen bikin putih gak bikin abu monyet,positive,0.9106187224388124
267,x,2025-06-05,amaterasun sunscreen bikin putih gak bikin abu monyet gampang aplikasi ga bkin kusemm,neutral,0.7304801344871521
268,x,2025-06-05,cari sunscreen bikin kulit cerah beneran amaterasun sunscreen bikin putih kok bukan abuabu,neutral,0.8953967094421387
269,x,2025-06-05,kalau kulit oily kayak aku kamu bakal suka amaterasun sunscreen bikin putih gak bikin abu monyet,positive,0.9374205470085144
271,x,2025-06-05,amaterasun sunscreen bikin putih toneupnya dapet banget nggak bikin muka jadi abuabu kayak hantu cerah natural banget,positive,0.9790000319480896
272,x,2025-06-05,ayoo buru dicobain produk yg satu minim whitecast ringan banget muka amaterasun sunscreen bikin putih,positive,0.843997597694397
274,x,2025-06-05,gue sih tim sunscreen gak drama makanya pilih amaterasun sunscreen bikin putih soal hidup aja udah cukup ribet,neutral,0.7872391939163208
275,x,2025-06-05,gak mau putih bohong coba aja amaterasun sunscreen bikin putih gak bikin abu monyet,neutral,0.6958878636360168
276,x,2025-06-05,cerah alami gak over amaterasun sunscreen bikin putih gak bikin abu monyet,positive,0.8920067548751831
278,x,2025-06-05,kulit gampang abu tiap pake sunscreen dengerin kata gue ni amaterasun sunscreen bikin putih gak bikin abu monyet tuh solusi bukan sekadar janjijanji marketing,neutral,0.7969759702682495
279,x,2025-06-05,arghhh neng banget coba agam merk fix amaterasun sunscreen bikin putih gak bikin abu emang top tier nih sunscreen gas check out guys,positive,0.9238360524177552
280,x,2025-06-05,nyoba amaterasun langsung paham hypenya sunscreen bikin putih gak abu monyet tuh nyata,positive,0.8020954132080078
281,x,2025-06-05,sunscreen amaterasun kulit cerah instan gray cast magic apa apa sih amaterasun sunscreen bikin putih guys,neutral,0.7806136012077332
282,x,2025-06-05,neng nih gue nemu amaterasun sunscreen bikin putih gak bikin abu woyy mana light banget kulit enak pol,positive,0.945543885231018
283,x,2025-06-05,udah skincarean rajin masa hasil akhir abu ganti dong amaterasun sunscreen bikin putih gak bikin abu monyet trust me enak banget finishnya,positive,0.9945084452629088
286,x,2025-06-05,neng akhir aku nemu sunscreen bener bener pas aku fix amaterasun sunscreen bikin putih gak bikin abu check out sini guys,positive,0.511771559715271
290,x,2025-06-05,gue gak butuh filter cukup pake amaterasun sunscreen bikin putih langsung naik level jadi best version of me,positive,0.6076647639274597
292,x,2025-06-05,gue kaget sih efek cerah langsung liat amaterasun sunscreen bikin putih gak medok,positive,0.8408598899841309
293,x,2025-06-05,neng banget gue coba agam merk fix amaterasun sunscreen bikin putih gak bikin abu emang top tier nih sunscreen gas check out guys,positive,0.7929383516311646
294,x,2025-06-05,baru nemu sunscreen lokal nggak bikin abu tone up amaterasun bikin putih tekstur ringan parah,positive,0.6216826438903809
295,x,2025-06-05,dulu kalo pake sunscreen muka pucet sekarang amaterasun sunscreen bikin putih tetap glowing kayak anak sultan hahaha,neutral,0.6810469627380371
296,x,2025-06-05,neng banget woy fix bener nih amaterasun sunscreen bikin putih gak bikin abu woyy mana light banget kulit enak pol,positive,0.9924975037574768
297,x,2025-06-05,cocok banget buat daily use hasil makin glowing ayoo buru poin amaterasun sunscreen bikin putih gak bikin abu monyet,positive,0.922261357307434
298,x,2025-06-05,bukan sunscreen biasa amaterasun sunscreen bikin putih gak bikin abu monyet tuh literally selamat muka panas udah derajat,positive,0.7373871803283691
301,x,2025-06-05,finally aku nemu sunscreen bener bener pas aku fix amaterasun sunscreen bikin putih gak bikin abu check out sini guys,neutral,0.7324832081794739
303,x,2025-06-05,baru kali nemu sunscreen bikin glowing bukan ngelabuin amaterasun sunscreen bikin putih gak bikin abu monyet linknya ya,neutral,0.7664203643798828
304,x,2025-06-05,gue gak suka ribet sunscreen ngerti banget vibenya amaterasun sunscreen bikin putih cepet nyerap amp hasil nyenengin,positive,0.8868494629859924
305,x,2025-06-05,beneran ringan banget muka makanya aku suka banget sama amaterasun sunscreen bikin putih,positive,0.9801946878433228
309,x,2025-06-05,coba agam merk fix amaterasun sunscreen bikin putih gak bikin abu emang top tier nih sunscreen gas check out guys,neutral,0.6079553961753845
310,x,2025-06-05,coba deh sekali aja pakai lo bakal ngerti amaterasun sunscreen bikin putih langsung liat fresh,positive,0.6863969564437866
312,x,2025-06-05,sunscreen fav gue karna nyaman bgt d pke ini tuh amaterasun sunscreen bikin putih gak bikin abu monyet,positive,0.881475031375885
313,x,2025-06-05,jangan tunggu kulit kalian protes dulu baru cari sunscreen mulai sekarang aja pake amaterasun sunscreen bikin putih gak bikin abu monyet,neutral,0.8721387386322021
315,x,2025-06-05,nyangka amaterasun sunscreen bikin putih sekaligus lindung kulit sinar uv,positive,0.5610790252685547
316,x,2025-06-05,jangan ngaku cowo keren kalo blom pake amaterasun sunscreen bikin putih ga bikin abu monyet,neutral,0.7231740951538086
317,x,2025-06-05,repurchase of course yes udah mau coba lain tetap setia sama amaterasun sunscreen bikin putih,positive,0.5914176106452942
318,x,2025-06-05,hasil akhir amaterasun sunscreen bikin putih ga kayak tone up biasa ini lebih soft natural lebih ringan ga bikin abu,positive,0.9206791520118712
319,x,2025-06-05,baru nemu sunscreen beneran bikin putih gak abuabu aneh amaterasun sunscreen is the truth,neutral,0.8078489303588867
320,x,2025-06-05,enak banget kulit tekstur ringan gak greasy amaterasun sunscreen bikin putih,positive,0.9897730946540833
321,x,2025-06-05,finally aku nemu sunscreen bener bener pas aku fix amaterasun sunscreen bikin putih gak bikin abu check out sini guys,neutral,0.7583281397819519
322,x,2025-06-05,amaterasun sunscreen bikin putih gak bikin abu monyet tekstur ringan hasil cerah gak bikin kusam,positive,0.7389141917228699
323,x,2025-06-05,lokal kalah yang luar amaterasun sunscreen bikin putih cerahinnya santun nyeremin ga jadi abu,positive,0.9524915218353271
324,x,2025-06-05,hasil akhir natural banget no white cast amaterasun sunscreen bikin putih gak bikin abu monyet,positive,0.8080165982246399
325,x,2025-06-05,gak ngerti kenapa bagus amaterasun sunscreen bikin putih no iritasi sama sekali,positive,0.7106409668922424
326,x,2025-06-05,sunscreen baik gw yg pling gampang apply nyaman pke amaterasun sunscreen bikin putih kulit auto glowing,positive,0.992093026638031
327,x,2025-06-05,glowingnya natural bukan licin minyak gitu bikin tagih jadi maka amaterasun sunscreen bikin putih gak bikin abu monyet,positive,0.9522132277488708
328,x,2025-06-05,banyak cari amaterasun sunscreen bikin putih efek cerah bikin kusam,neutral,0.9021403789520264
329,x,2025-06-05,apply layer doang langsung kayak dapet blessing matahari amaterasun sunscreen bikin putih gak dead fish look dong,neutral,0.7012357711791992
