id,source,created_at,preprocessed_text,sentimen,skor_sentimen
119,x,2025-06-05,gue udah coba banyak tone up yang paling nyatu tuh amaterasun sunscreen bikin putih gak dempul sama sekali,positive,674.349.844.455.719
120,x,2025-06-05,sih holy grail gue sekarang amaterasun sunscreen bikin putih ngebantu kulit kusam gue liat hidup,positive,6.387.532.353.401.180
121,x,2025-06-05,gak nyangka sunscreen bisa bikin kulit cerah kejap amaterasun sunscreen bikin putih beneran,positive,7.590.245.604.515.070
123,x,2025-06-05,cobain deh tekstur ringan parah amaterasun sunscreen bikin putih gak bikin muka berat lengket,positive,8.529.135.584.831.230
124,x,2025-06-05,gue kira bakal susah diratain eh gampang banget amaterasun sunscreen bikin putih effort,positive,7.503.390.908.241.270
125,x,2025-06-05,jauh cm amaterasun sunscreen bikin putih gak bikin abu monyet pling nyaman pke g lengket lgi kulit,positive,8.248.370.885.848.990
126,x,2025-06-05,amaterasun sunscreen bikin putih gak bikin muka abuabu kayak tone up ini cakep banget hasil,positive,9.863.046.407.699.580
127,x,2025-06-05,gue pake belum makeup enak banget amaterasun sunscreen bikin putih bikin kulit liat lebih fresh,positive,936.557.948.589.325
128,x,2025-06-05,cewekcewek cobain deh amaterasun sunscreen bikin putih ngebantu banget biar gak liat capek,positive,5.638.328.790.664.670
129,x,2025-06-05,baru nemu sunscreen bisa sekali jadi base makeup amaterasun sunscreen bikin putih glowing sehat gitu,positive,5.455.373.525.619.500
131,x,2025-06-05,lo coba deh amaterasun sunscreen bikin putih ada efek tone upnya gak norak,positive,931.596.577.167.511
132,x,2025-06-05,amaterasun sunscreen bikin putih gak bikin abu monyet nih tipikal sunscreen idam byk org bgt bikin kulit jd lbih putih,positive,6.177.923.083.305.350
133,x,2025-06-05,gue rekomen banget karena hasil tuh smooth amaterasun sunscreen bikin putih ga berat,positive,9.568.849.802.017.210
135,x,2025-06-05,gue pakai tiap hari beneran rasa amaterasun sunscreen bikin putih efek tahan lama,positive,8.925.101.161.003.110
136,x,2025-06-05,amaterasun sunscreen bikin putih pakai anak smp aman adik suka banget,positive,9.836.996.793.746.940
138,x,2025-06-05,gak lebay hasil tetep bikin beda amaterasun sunscreen bikin putih sentuh halus,positive,9.455.724.358.558.650
141,x,2025-06-05,serius deh amaterasun sunscreen bikin putih gak berat kulit enak banget buat dipake hari,positive,9.885.990.619.659.420
142,x,2025-06-05,gue kaget beneran tone upnya tuh pas banget amaterasun sunscreen bikin putih gak norak,positive,9.737.294.316.291.800
143,x,2025-06-05,amaterasun sunscreen bikin putih bikin kulit gue liat kayak habis skincarean step,positive,6.641.092.300.415.030
144,x,2025-06-05,nyari sunscreen yg bikin kulit putih nih amaterasun sunscreen bikin putih gak bikin abu monyet,positive,972.515.344.619.751
145,x,2025-06-05,amaterasun sunscreen bikin putih ingredientsnya tuh bagus banget buat kulit kusam,positive,9.807.378.649.711.600
146,x,2025-06-05,baru kali ngerasa nyaman pake tone up amaterasun sunscreen bikin putih gak lengket gak berat,positive,9.050.407.409.667.960
147,x,2025-06-05,gue udah repurchase amaterasun sunscreen bikin putih gak bikin kulit kusam,positive,585.105.836.391.449
148,x,2025-06-05,gue paling males layering produk untung amaterasun sunscreen bikin putih udah allinone,positive,9.179.741.740.226.740
149,x,2025-06-05,kenalin nih sunscreen andal ku amaterasun sunscreen bikin putih kulit auto cerah,positive,7.995.594.143.867.490
150,x,2025-06-05,dia amaterasun sunscreen bikin putih banyak banget yg make loh karna beneran bikin putih cerah,positive,7.804.742.455.482.480
151,x,2025-06-05,bingung pilih sunscreen kata aku mah buru pake aja amaterasun sunscreen bikin putih gabikin muka kusam abuabu,positive,7.709.452.509.880.060
152,x,2025-06-05,amaterasun sunscreen bikin putih enak polll dipakenya gak bikin muka jadi abuabu,positive,961.973.249.912.262
155,x,2025-06-05,yuhu dia sunscreen yg sering aku pake amaterasun sunscreen bikin putih gampang loh apply,positive,6.302.700.042.724.600
156,x,2025-06-05,teng teng teng mau ngecun dulu nih gaes pake amaterasun sunscreen bikin putih yg jelas mudah applay ga bikin dempul,positive,8.226.527.571.678.160
157,x,2025-06-05,dia yg cari amaterasun sunscreen bikin putih udah lama pake liat banget kulit lindung papar matahari jadi lebih glowing,positive,6.719.574.928.283.690
158,x,2025-06-05,nih gaes yg cobain yuk coba amaterasun sunscreen bikin putih kulit makin glowing loh,positive,6.681.962.013.244.620
159,x,2025-06-05,cewek gw selalu pake tiap kali mau ketemu gw kata amaterasun sunscreen bikin putih,positive,5.976.566.076.278.680
160,x,2025-06-05,amaterasun sunscreen bikin putih pasti mudah apply,positive,5.273.672.938.346.860
162,x,2025-06-05,dia amaterasun sunscreen bikin putih banyak banget yg make loh karna beneran bikin putih cerah,positive,6.622.900.366.783.140
163,x,2025-06-05,amaterasun sunscreen bikin putih gamang banget apply muka,positive,8.539.860.248.565.670
164,x,2025-06-05,amaterasun sunscreen bikin putih nyaman banget muka,positive,8.005.518.913.269.040
165,x,2025-06-05,salah satu jalan ninjaku nih selalu pake amaterasun sunscreen bikin putih,positive,750.503.659.248.352
168,x,2025-06-05,yuhu dia sunscreen yg sering aku pake amaterasun sunscreen bikin putih gampang loh apply,positive,7.903.731.465.339.660
169,x,2025-06-05,nggak bikin kusam bikin glowing natural kalau bukan amaterasun sunscreen bikin putih gak bikin abu monyet,positive,7.195.824.980.735.770
170,x,2025-06-05,teng teng teng mau ngecun dulu nih gaes pake amaterasun sunscreen bikin putih yg jelas mudah applay ga bikin dempul,positive,8.594.017.028.808.590
171,x,2025-06-05,dia yg cari amaterasun sunscreen bikin putih udah lama pake liat banget kulit lindung papar matahari jadi lebih glowing,positive,9.672.650.694.847.100
172,x,2025-06-05,amaterasun sunscreen bikin putih gak bikin abu monyet bahkan cerah,positive,6.640.352.010.726.920
173,x,2025-06-05,nih gaes yg cobain yuk coba amaterasun sunscreen bikin putih kulit makin glowing loh,positive,6.618.484.258.651.730
174,x,2025-06-05,jelas kalau amaterasun sunscreen bikin putih gak bikin abu monyet,positive,9.445.366.859.436.030
175,x,2025-06-05,amaterasun sunscreen bikin putih melembabkan,positive,7.906.691.431.999.200
176,x,2025-06-05,bakal repurchase amaterasun sunscreen bikin putih,positive,8.157.668.709.754.940
177,x,2025-06-05,pasti amaterasun sunscreen bikin putih bisa cerah kulit,positive,7.601.215.839.385.980
178,x,2025-06-05,paling suka sama amaterasun sunscreen bikin putih,positive,8.522.353.768.348.690
179,x,2025-06-05,kulit kering pas nyobain amaterasun sunscreen bikin putih nyata cocok,positive,8.727.618.455.886.840
180,x,2025-06-05,produk amaterasun sunscreen bikin putih bikin kulit jadi lembab,positive,8.385.844.826.698.300
181,x,2025-06-05,amaterasun sunscreen bikin putih best buying si dipake pantai hayukk,positive,98.374.605.178.833
182,x,2025-06-05,cepet banget resap kulit ngak bikin kulit jadi minyak amaterasun sunscreen bikin putih,positive,8.894.259.333.610.530
184,x,2025-06-05,pake jadi asa ngak pake apa beneran ringan banget amaterasun sunscreen bikin putih,positive,8.832.162.022.590.630
185,x,2025-06-05,bagus produk amaterasun sunscreen bikin putih gampang resap kulit,positive,7.927.361.130.714.410
186,x,2025-06-05,pake amaterasun sunscreen bikin putih rekomendasi teman nyata emg bagus,positive,5.106.699.466.705.320
188,x,2025-06-05,amaterasun sunscreen bikin putih koentji lindung ga kya pake topeng,positive,8.117.454.051.971.430
189,x,2025-06-05,gak perlu takut muka jadi abu sekarang cerah alami tiap hari amaterasun sunscreen bikin putih gak bikin abu monyet,positive,5.810.900.926.589.960
190,x,2025-06-05,cepet banget resap kulit gak lengket amaterasun sunscreen bikin putih gak bikin abu monyet,positive,9.226.037.859.916.680
191,x,2025-06-05,suka banget ngak bikim whitecast tentu amaterasun sunscreen bikin putih,positive,9.894.859.790.802.000
193,x,2025-06-05,kulit jadi cerah natural bukan filter karena amaterasun sunscreen bikin putih,positive,5.348.927.974.700.920
194,x,2025-06-05,aku cobain kepo banget nyata cocok banget amaterasun sunscreen bikin putih,positive,9.273.019.433.021.540
195,x,2025-06-05,amaterasun sunscreen bikin putih nyaman banget aku pake daily memprotek kulit ruang ac kantor,positive,5.072.581.171.989.440
196,x,2025-06-05,gue udah pake bareng adek gue kita samasama suka amaterasun sunscreen bikin putih aman buat usia muda,positive,5.157.998.204.231.260
197,x,2025-06-05,gue suka banget amaterasun sunscreen bikin putih gak kayak topeng tetep nyatu sama kulit,positive,9.525.571.465.492.240
198,x,2025-06-05,alih ajaa amaterasun sunscreen bikin putihga bikin abu abu monyet dah anti whitecast,positive,819.997.251.033.783
199,x,2025-06-05,ga bingung mau pake ss apa andal si amaterasun sunscreen bikin putih,positive,8.728.688.359.260.550
200,x,2025-06-05,biasa bikin perih mata yang aman banget sih amaterasun sunscreen bikin putih gak bikin abu monyet,positive,8.665.426.969.528.190
202,x,2025-06-05,udah nemu sunscreen gak ninggalin white cast coba deh amaterasun sunscreen bikin putih gak bikin abu monyet,positive,8.697.974.681.854.240
204,x,2025-06-05,amaterasun sunscreen bikin putih ga bikin abu abu monyet harus banget aku pake tiap hari,positive,8.155.457.973.480.220
205,x,2025-06-05,lo coba deh amaterasun sunscreen bikin putih dia tuh sekali primer jadi tinggal tap bedak udah cakep,positive,7.662.444.114.685.050
206,x,2025-06-05,gak nyangka sunscreen enak pakai amaterasun sunscreen bikin putih rasa berat sama sekali,positive,9.307.043.552.398.680
207,x,2025-06-05,buru dicobain produk yg satu minim whitecast ringan banget muka amaterasun sunscreen bikin putih,positive,8.748.417.496.681.210
208,x,2025-06-05,makin lama pakai kulit aku makin halus cerah berkat pakai amaterasun sunscreen bikin putih gak bikin abu monyet,positive,8.357.888.460.159.300
210,x,2025-06-05,amaterasun sunscreen bikin putih bikin aku males reapply,positive,5.756.195.783.615.110
211,x,2025-06-05,pake hari kulit tetap nyaman liat cerah amaterasun sunscreen bikin putih gak bikin abu monyet,positive,5.168.296.098.709.100
212,x,2025-06-05,dia andal semua amaterasun sunscreen bikin putih ga bikin abu abu monyet best deh,positive,9.925.345.182.418.820
213,x,2025-06-05,kulit sawo matang usah takut amaterasun sunscreen bikin putih tetep natural ngecast abuabu,positive,7.298.142.313.957.210
214,x,2025-06-05,dulu susah banget nemu sunscreen ringan bikin cerah sampe akhir kenal sama amaterasun amaterasun sunscreen bikin putih,positive,6.655.168.533.325.190
218,x,2025-06-05,pakai makeup jadi nempel lebih bagus serius dehh jadi ayo langsung cobain amaterasun sunscreen bikin putih,positive,5.907.637.476.921.080
219,x,2025-06-05,spf besar ga bikin abu abu solusi amaterasun sunscreen bikin putih,positive,9.687.683.582.305.900
220,x,2025-06-05,lo suka skincare simple pakai amaterasun sunscreen bikin putih aja sekali primer cerah,positive,5.193.721.055.984.490
221,x,2025-06-05,sunscreen gak bikin abu yes please amaterasun sunscreen bikin putih gak bikin abu monyet,positive,9.287.929.534.912.100
223,x,2025-06-05,amaterasun sunscreen bikin putih gak bikin abu monyet gampang aplikasi ga bkin kusemm,positive,595.130.980.014.801
225,x,2025-06-05,sunscreen kayak gin tuh rare banget amaterasun sunscreen bikin putih ngebantu banget buat nutupin merah,positive,9.801.700.711.250.300
226,x,2025-06-05,kulit kombinasi tetap cocok pakai beneran baik banget sih amaterasun sunscreen bikin putih gak bikin abu monyet,positive,9.803.436.994.552.610
227,x,2025-06-05,udah skincarean capekcapek terus pake sunscreen malah jadi abu coba deh amaterasun sunscreen bikin putih no kusamkusam club,positive,4.226.776.659.488.670
228,x,2025-06-05,gue udah stop pake foundation tiap hari cukup amaterasun sunscreen bikin putih kulit gue liat bagus,positive,6.230.612.993.240.350
229,x,2025-06-05,nah nih amaterasun sunscreen bikin putih ga bikin jadi abuabu monyet gampang resap gampang blend,neutral,6.695.426.106.452.940
230,x,2025-06-05,tone up favorit gue sekarang amaterasun sunscreen bikin putih gak patchy pas dipake,positive,8.136.657.476.425.170
231,x,2025-06-05,amaterasun sunscreen bikin putih bukan putih keabuabuan putih cerah alami,neutral,8.257.027.864.456.170
232,x,2025-06-05,nyangka nyaman pakai hari amaterasun sunscreen bikin putih gak bikin abu monyet,positive,5.575.541.853.904.720
233,x,2025-06-05,amaterasun sunscreen bikin putih ga bikin abu abu monyet aman banget buat kulit kering kaya kulit,positive,8.278.788.328.170.770
234,x,2025-06-05,gak takut muka belang amaterasun sunscreen bikin putih nyaman kulit,positive,9.127.169.251.441.950
236,x,2025-06-05,hadiah pacar dong amaterasun sunscreen bikin putih gak bikin abu monyet pacar glowing hati gue neng,positive,9.653.708.338.737.480
237,x,2025-06-05,amaterasun sunscreen bikin putih gak bikin abu monyet tekstur ringan hasil cerah gak bikin kusam,positive,7.298.445.105.552.670
238,x,2025-06-05,udah coba pantai hasil mantap kulit tetap aman amaterasun sunscreen bikin putih gak bikin abu monyet,positive,7.898.659.706.115.720
240,x,2025-06-05,kulit gue kusamkusamnya sekarang udah mending amaterasun sunscreen bikin putih nyata bantu,neutral,881.662.905.216.217
241,x,2025-06-05,buat remaja oke banget bikin berat kulit jelas amaterasun sunscreen bikin putih gak bikin abu monyet,positive,938.376.784.324.646
242,x,2025-06-05,yang aku suka amaterasun sunscreen bikin putih gak bikin abu monyet haha,positive,9.443.376.660.346.980
244,x,2025-06-05,gak perlu takut muka jadi belang kusam amaterasun sunscreen bikin putih gak bikin abu monyet,neutral,6.917.277.574.539.180
245,x,2025-06-05,dulu susah banget nemu sunscreen ringan bikin cerah sampe akhir kenal sama amaterasun amaterasun sunscreen bikin putih,neutral,5.827.807.784.080.500
248,x,2025-06-05,amaterasun sunscreen bikin putih gak lihat aneh kulit nyatu banget,positive,8.785.675.764.083.860
250,x,2025-06-05,amaterasun sunscreen bikin putih udah ya aku udah nyobain kok,positive,7.586.535.811.424.250
251,x,2025-06-05,amaterasun sunscreen bikin putih glowing ribet,positive,8.089.274.168.014.520
252,x,2025-06-05,amaterasun sunscreen bikin putih ini bukan gimmick hasil nyataaa,positive,725.740.909.576.416
253,x,2025-06-05,gak takut makeup geser amaterasun sunscreen bikin putih gampang diblend,positive,72.761.070.728.302
254,x,2025-06-05,sunscreen satu udah bukan rahasia amaterasun sunscreen bikin putih gak bikin abu monyet,positive,8.355.107.307.434.080
255,x,2025-06-05,amaterasun sunscreen bikin putih hasil natural gak medok gak abu,positive,6.988.285.779.953.000
256,x,2025-06-05,amaterasun sunscreen bikin putih gak bikin abu monyet bahkan cerah,neutral,5.148.335.099.220.270
258,x,2025-06-05,pakai amaterasun sunscreen bikin putih bahkan pas di rumah aja beneran enak,neutral,588.431.715.965.271
259,x,2025-06-05,sunscreen cocok kulit sensitif amaterasun sunscreen bikin putih,positive,6.339.927.911.758.420
260,x,2025-06-05,jelas kalau amaterasun sunscreen bikin putih gak bikin abu monyet,positive,9.392.982.721.328.730
261,x,2025-06-05,amaterasun sunscreen bikin putih melembabkan,positive,5.879.991.054.534.910
262,x,2025-06-05,neng banget akhir aku nemu sunscreen bener bener pas aku fix amaterasun sunscreen bikin putih gak bikin abu check out sini guys,positive,7.388.665.676.116.940
264,x,2025-06-05,gak perlu takut muka jadi belang kusam amaterasun sunscreen bikin putih gak bikin abu monyet,positive,7.539.947.628.974.910
265,x,2025-06-05,bakal repurchase amaterasun sunscreen bikin putih,positive,8.411.375.284.194.940
266,x,2025-06-05,nyangka banget bantu kulit jadi lebih sehat berkat amaterasun sunscreen bikin putih gak bikin abu monyet,positive,9.106.187.224.388.120
267,x,2025-06-05,amaterasun sunscreen bikin putih gak bikin abu monyet gampang aplikasi ga bkin kusemm,neutral,7.304.801.344.871.520
268,x,2025-06-05,cari sunscreen bikin kulit cerah beneran amaterasun sunscreen bikin putih kok bukan abuabu,positive,8.953.967.094.421.380
269,x,2025-06-05,kalau kulit oily kayak aku kamu bakal suka amaterasun sunscreen bikin putih gak bikin abu monyet,positive,9.374.205.470.085.140
271,x,2025-06-05,amaterasun sunscreen bikin putih toneupnya dapet banget nggak bikin muka jadi abuabu kayak hantu cerah natural banget,positive,9.790.000.319.480.890
272,x,2025-06-05,ayoo buru dicobain produk yg satu minim whitecast ringan banget muka amaterasun sunscreen bikin putih,positive,843.997.597.694.397
274,x,2025-06-05,gue sih tim sunscreen gak drama makanya pilih amaterasun sunscreen bikin putih soal hidup aja udah cukup ribet,neutral,7.872.391.939.163.200
275,x,2025-06-05,gak mau putih bohong coba aja amaterasun sunscreen bikin putih gak bikin abu monyet,positive,6.958.878.636.360.160
276,x,2025-06-05,cerah alami gak over amaterasun sunscreen bikin putih gak bikin abu monyet,positive,8.920.067.548.751.830
278,x,2025-06-05,kulit gampang abu tiap pake sunscreen dengerin kata gue ni amaterasun sunscreen bikin putih gak bikin abu monyet tuh solusi bukan sekadar janjijanji marketing,positive,7.969.759.702.682.490
279,x,2025-06-05,arghhh neng banget coba agam merk fix amaterasun sunscreen bikin putih gak bikin abu emang top tier nih sunscreen gas check out guys,positive,9.238.360.524.177.550
280,x,2025-06-05,nyoba amaterasun langsung paham hypenya sunscreen bikin putih gak abu monyet tuh nyata,positive,8.020.954.132.080.070
281,x,2025-06-05,sunscreen amaterasun kulit cerah instan gray cast magic apa apa sih amaterasun sunscreen bikin putih guys,positive,7.806.136.012.077.330
282,x,2025-06-05,neng nih gue nemu amaterasun sunscreen bikin putih gak bikin abu woyy mana light banget kulit enak pol,positive,945.543.885.231.018
283,x,2025-06-05,udah skincarean rajin masa hasil akhir abu ganti dong amaterasun sunscreen bikin putih gak bikin abu monyet trust me enak banget finishnya,positive,9.945.084.452.629.080
286,x,2025-06-05,neng akhir aku nemu sunscreen bener bener pas aku fix amaterasun sunscreen bikin putih gak bikin abu check out sini guys,positive,511.771.559.715.271
290,x,2025-06-05,gue gak butuh filter cukup pake amaterasun sunscreen bikin putih langsung naik level jadi best version of me,positive,6.076.647.639.274.590
292,x,2025-06-05,gue kaget sih efek cerah langsung liat amaterasun sunscreen bikin putih gak medok,positive,8.408.598.899.841.300
293,x,2025-06-05,neng banget gue coba agam merk fix amaterasun sunscreen bikin putih gak bikin abu emang top tier nih sunscreen gas check out guys,positive,7.929.383.516.311.640
294,x,2025-06-05,baru nemu sunscreen lokal nggak bikin abu tone up amaterasun bikin putih tekstur ringan parah,positive,6.216.826.438.903.800
295,x,2025-06-05,dulu kalo pake sunscreen muka pucet sekarang amaterasun sunscreen bikin putih tetap glowing kayak anak sultan hahaha,positive,6.810.469.627.380.370
296,x,2025-06-05,neng banget woy fix bener nih amaterasun sunscreen bikin putih gak bikin abu woyy mana light banget kulit enak pol,positive,9.924.975.037.574.760
297,x,2025-06-05,cocok banget buat daily use hasil makin glowing ayoo buru poin amaterasun sunscreen bikin putih gak bikin abu monyet,positive,922.261.357.307.434
298,x,2025-06-05,bukan sunscreen biasa amaterasun sunscreen bikin putih gak bikin abu monyet tuh literally selamat muka panas udah derajat,positive,7.373.871.803.283.690
301,x,2025-06-05,finally aku nemu sunscreen bener bener pas aku fix amaterasun sunscreen bikin putih gak bikin abu check out sini guys,positive,7.324.832.081.794.730
303,x,2025-06-05,baru kali nemu sunscreen bikin glowing bukan ngelabuin amaterasun sunscreen bikin putih gak bikin abu monyet linknya ya,positive,7.664.203.643.798.820
304,x,2025-06-05,gue gak suka ribet sunscreen ngerti banget vibenya amaterasun sunscreen bikin putih cepet nyerap amp hasil nyenengin,positive,8.868.494.629.859.920
305,x,2025-06-05,beneran ringan banget muka makanya aku suka banget sama amaterasun sunscreen bikin putih,positive,9.801.946.878.433.220
309,x,2025-06-05,coba agam merk fix amaterasun sunscreen bikin putih gak bikin abu emang top tier nih sunscreen gas check out guys,positive,6.079.553.961.753.840
310,x,2025-06-05,coba deh sekali aja pakai lo bakal ngerti amaterasun sunscreen bikin putih langsung liat fresh,positive,6.863.969.564.437.860
312,x,2025-06-05,sunscreen fav gue karna nyaman bgt d pke ini tuh amaterasun sunscreen bikin putih gak bikin abu monyet,positive,881.475.031.375.885
313,x,2025-06-05,jangan tunggu kulit kalian protes dulu baru cari sunscreen mulai sekarang aja pake amaterasun sunscreen bikin putih gak bikin abu monyet,neutral,8.721.387.386.322.020
315,x,2025-06-05,nyangka amaterasun sunscreen bikin putih sekaligus lindung kulit sinar uv,positive,5.610.790.252.685.540
316,x,2025-06-05,jangan ngaku cowo keren kalo blom pake amaterasun sunscreen bikin putih ga bikin abu monyet,neutral,7.231.740.951.538.080
317,x,2025-06-05,repurchase of course yes udah mau coba lain tetap setia sama amaterasun sunscreen bikin putih,positive,5.914.176.106.452.940
318,x,2025-06-05,hasil akhir amaterasun sunscreen bikin putih ga kayak tone up biasa ini lebih soft natural lebih ringan ga bikin abu,positive,9.206.791.520.118.710
319,x,2025-06-05,baru nemu sunscreen beneran bikin putih gak abuabu aneh amaterasun sunscreen is the truth,neutral,8.078.489.303.588.860
320,x,2025-06-05,enak banget kulit tekstur ringan gak greasy amaterasun sunscreen bikin putih,positive,9.897.730.946.540.830
321,x,2025-06-05,finally aku nemu sunscreen bener bener pas aku fix amaterasun sunscreen bikin putih gak bikin abu check out sini guys,neutral,7.583.281.397.819.510
322,x,2025-06-05,amaterasun sunscreen bikin putih gak bikin abu monyet tekstur ringan hasil cerah gak bikin kusam,positive,7.389.141.917.228.690
